nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
415.7051,49.7647,339.6213,46.5265,466.9831,69.9946,294.4789,63.1254,534.9358,267.709,228.427,262.8304,373.3977,91.4724
414.8039,50.3222,338.0277,48.1175,466.127,68.24,292.4009,63.8627,535.1528,265.1842,228.3701,263.105,374.5612,90.7855
415.6796,50.4415,339.154,48.9049,466.8239,69.7295,293.5495,66.6239,535.1324,265.0127,230.7316,262.6732,374.3219,90.5153
415.9742,50.3827,339.6556,47.5222,466.9203,68.9857,294.1783,62.8987,535.6733,265.7512,229.0804,262.1546,375.7044,89.5565
417.435,48.6596,339.9589,45.7757,468.3818,68.0352,293.305,62.1953,538.1204,268.3903,228.9719,265.0781,375.1608,90.0952
416.0134,50.2116,339.9922,47.8834,465.8839,69.1931,293.9924,64.5165,533.7281,263.394,229.1638,262.0503,374.5729,90.284
415.873,50.3298,339.1561,47.2692,466.0226,69.9154,292.6274,63.9739,537.0168,267.1249,226.6344,263.6728,374.1665,91.2843
416.4219,50.6076,339.1422,47.1189,467.3436,69.1489,292.6979,61.8578,536.2197,266.211,227.5319,261.83,374.0328,91.0283
415.8746,50.4489,339.2328,47.031,467.6115,68.397,293.9293,61.5177,537.523,266.5625,228.2949,262.223,375.5238,92.5162
417.1044,50.2586,338.9334,47.9789,468.3237,66.9147,291.7903,62.8653,539.5785,267.3114,228.6378,264.2245,374.4572,91.0054
416.5995,49.4757,339.0866,46.236,468.6693,66.571,293.035,60.2018,538.5695,265.9601,228.9336,262.683,413.6689,159.7403
454.8756,115.914,378.4897,114.9584,515.389,122.5861,335.8313,121.2189,611.2959,312.2071,257.1656,307.8836,409.1443,159.3549
451.2589,115.4794,376.3313,112.1268,512.9341,121.7264,335.3893,114.3107,607.451,317.9292,252.1713,312.0096,408.4624,159.3684
448.3901,115.3894,374.6627,113.5957,508.687,119.4046,334.0419,116.0363,603.8519,315.7226,253.5187,312.5299,407.2313,158.5578
