nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
351.8443,235.0768,404.4087,184.8612,311.265,176.7909,475.9876,172.6928,260.8634,155.8996,573.7018,322.088,186.4721,312.5167
348.3986,230.8161,401.7642,181.3653,310.3023,171.705,473.8193,171.802,261.2728,150.9893,566.0856,321.2269,184.32,312.4947
348.3685,232.3155,400.4647,182.3468,309.0966,174.621,472.3372,172.2543,260.1007,156.3224,568.5663,325.006,184.8688,316.2388
346.2966,232.2378,399.6882,182.661,308.7595,172.8589,471.701,173.04,260.1377,151.6112,567.4332,321.9356,179.7906,318.1996
351.0932,233.0086,403.6555,182.5706,311.7597,174.4915,476.0865,172.048,262.7214,154.856,570.2053,324.6024,186.7207,317.6248
352.4192,233.3127,405.6436,181.4901,312.0699,173.886,478.2669,171.298,261.686,154.9109,574.3868,326.5881,182.4203,319.1375
352.4382,237.6901,404.8724,184.7593,310.2658,179.0202,476.4853,172.1807,258.0551,160.3659,573.354,325.8617,177.8336,322.6709
350.7349,240.3,402.8372,187.0431,309.4055,181.2687,475.3744,172.6741,257.9208,160.7895,573.1543,331.4849,172.7263,323.1596
352.6086,242.9003,405.3467,188.9511,311.1074,183.2941,479.4653,174.8961,259.8497,163.033,576.9042,330.3454,174.5203,326.5341
352.4152,242.2143,404.2018,187.9817,310.5425,183.717,478.583,173.9124,259.9332,165.1099,577.3223,329.5809,177.5028,326.705
354.752,245.5664,407.0339,191.6043,313.3189,186.5879,482.1833,177.435,262.9468,167.0026,581.5012,333.8664,179.3526,322.8318
440.8527,221.0245,487.9198,165.8457,394.1185,166.3763,549.2656,157.993,337.0436,159.1705,592.9105,320.636,258.3677,319.6819
440.5602,220.8984,487.1921,166.3513,394.4312,166.8943,547.4308,158.4506,337.5343,159.5159,594.9065,317.4643,256.108,320.0034
439.4972,221.6348,486.3621,166.4182,391.9512,167.1223,545.1678,156.2183,332.2868,158.4394,598.2534,321.0882,250.9634,317.9962
439.675,223.0656,486.7118,168.726,392.6253,168.8121,545.4247,159.9217,333.1472,160.1824,593.1299,320.387,250.4249,319.4082
439.4326,223.9794,486.1812,170.1059,393.0812,169.9035,544.1763,160.9872,333.6708,160.6725,594.8253,320.8907,248.2347,323.1412
438.3635,221.32,483.9413,168.2526,392.5094,169.1252,542.0329,161.5557,334.5619,163.3506,597.644,324.1481,247.1883,323.5875
438.2795,223.5475,483.9597,168.7807,392.6605,169.884,545.0896,159.3548,337.1512,161.7599,594.6767,324.7975,253.814,324.0631
437.7681,223.1143,484.1538,169.0209,391.5959,169.9939,543.0155,160.6483,332.8667,162.3579,593.422,321.6818,243.826,324.5017
436.4496,224.4755,483.0481,170.0346,390.6607,170.9109,542.9374,160.3194,332.9807,162.0035,596.325,322.1173,245.6909,322.1852
436.0504,222.8779,483.1113,168.7212,390.0955,169.6864,542.8823,160.9547,331.7738,162.4188,592.0536,322.7734,240.5033,325.2206
436.7536,226.5594,482.7302,172.1522,391.2681,173.6387,544.658,162.0583,336.1222,165.081,591.2418,318.5282,256.3273,320.0311
435.5915,228.4204,482.4344,173.4612,389.5976,174.8089,542.8316,161.1966,331.7231,163.8091,593.5994,315.6023,243.341,322.1613
435.8018,227.3929,482.7645,172.761,390.0174,173.5533,542.9694,163.4538,332.3474,164.7971,592.1503,324.8409,242.5698,326.0595
436.8948,228.676,483.0829,173.2646,390.7768,174.5957,544.8391,161.2693,335.2108,164.2884,587.6227,317.8361,260.1843,318.1637
434.3222,229.1591,481.429,174.6995,388.9904,175.0294,541.5947,164.4973,331.2404,164.6947,592.1776,324.0793,240.5484,325.232
434.1705,229.3932,481.4466,174.1278,388.6411,174.9885,542.9263,161.5655,331.1656,163.16,596.9827,322.4396,238.683,325.3675
433.7908,230.1799,481.4995,174.8749,388.1068,176.3315,543.3901,163.9748,330.4706,166.4177,589.3468,317.4314,237.6712,325.7181
