nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
431.3448, 211.858, 472.342, 163.9773, 390.9439, 162.9385, 527.1024, 134.9377, 337.9027, 132.4482, 588.2483, 284.1998, 241.1524, 282.5999
316.9198, 480.0, 431.2604, 212.1117, 472.5419, 164.673, 391.1348, 162.955, 527.3024, 136.7299, 337.5309, 132.7526, 592.3552, 285.2646
239.7044, 283.1165, 315.0892, 480.0, 433.0842, 212.6573, 474.0654, 165.9162, 393.3099, 164.6028, 528.9408, 138.09, 340.8266, 135.0482
587.451, 282.9709, 244.5129, 279.1269, 160.2459, 480.0, 316.3689, 480.0, 432.7665, 213.0026, 475.7532, 166.1933, 393.6643, 162.5263
530.4413, 138.6631, 340.2179, 129.7849, 587.1185, 283.9516, 240.9787, 279.8899, 314.8453, 480.0, 433.1873, 213.0992, 474.8369, 165.2279
394.0702, 164.0147, 531.3126, 134.4001, 341.0715, 130.9342, 583.5344, 270.8162, 248.2036, 277.2671, 159.1079, 480.0, 501.9097, 480.0
318.9415, 480.0, 434.7214, 213.1982, 476.0104, 166.3733, 394.9009, 164.4703, 530.6689, 136.2199, 342.0029, 131.9616, 588.9022, 280.8463
244.8426, 275.6507, 161.9883, 480.0, 315.2939, 480.0, 438.357, 214.2165, 480.9739, 165.3101, 397.4297, 162.3203, 534.3606, 134.1198
341.5197, 127.401, 589.7505, 286.0034, 241.8121, 282.4741, 309.0294, 480.0, 446.2539, 211.9262, 487.1892, 161.1249, 402.2638, 162.0311
537.2192, 130.6756, 342.5157, 131.9348, 593.9636, 271.8877, 246.9563, 281.7576, 446.3325, 213.4994, 487.6979, 163.549, 402.7398, 162.6497
536.9821, 133.2377, 342.4296, 130.2709, 590.7957, 277.8662, 248.588, 282.2842, 445.8801, 212.7088, 487.0424, 163.3725, 402.6385, 162.116
535.5003, 133.3495, 342.0813, 129.5048, 589.4966, 274.0595, 248.6317, 279.7016, 445.8093, 212.9056, 488.3942, 163.1101, 402.6526, 161.3581
538.4907, 133.7986, 342.5364, 128.6232, 591.3528, 273.6506, 248.4114, 281.5581, 444.3855, 212.4258, 486.5331, 163.3079, 402.0873, 161.4781
535.6366, 136.4476, 342.734, 131.0168, 591.1924, 276.8797, 249.3539, 283.4958, 444.4655, 213.2784, 487.235, 163.0914, 401.5081, 161.5019
536.7834, 133.4701, 341.3672, 128.3378, 589.2523, 273.7246, 246.6064, 284.2131, 445.5756, 211.9342, 487.724, 160.5696, 401.614, 160.2135
